x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,label
0.39932138,0.44802594,0.45536742,0.7270968,0.5431599,0.39488012,0.73409265,0.92925787,0.7621968,0.3010348,0.72333455,0.7640381,0.7825116,0.25707668,0.79667616,0.7566124,0.79236573,0.46686167,Stable
0.39932138,0.44802594,0.45536742,0.7270968,0.5431599,0.39488012,0.73409265,0.92925787,0.7621968,0.3010348,0.72333455,0.7640381,0.7825116,0.25707668,0.79667616,0.7566124,0.79236573,0.46686167,Stable
0.3965852,0.45447505,0.45149004,0.7320966,0.5328546,0.39786595,0.7345595,0.9236149,0.7577288,0.29988787,0.72360194,0.76859015,0.7722394,0.28268704,0.78849995,0.7352303,0.78682494,0.4491185,Stable
0.39778695,0.4659168,0.45502552,0.7353067,0.53279096,0.40071285,0.7259354,0.9158424,0.7572645,0.2974499,0.72301096,0.7673361,0.780471,0.2732604,0.78731936,0.73139894,0.78644454,0.44794607,Stable
0.39716405,0.47477877,0.4536917,0.74007595,0.52980906,0.40598306,0.72454965,0.91632354,0.74798584,0.29912552,0.72537017,0.73699445,0.77790374,0.27172342,0.78624845,0.73024905,0.78126734,0.45278105,Stable
0.39717233,0.47496554,0.45361924,0.73994815,0.52984095,0.405837,0.7244241,0.9162678,0.7479036,0.29922545,0.72544134,0.7370881,0.7778675,0.27170408,0.78622043,0.7303107,0.78131473,0.45287275,Stable
0.3890178,0.4780917,0.45669338,0.742115,0.5254303,0.40935498,0.72403765,0.92008865,0.743665,0.30278653,0.7191679,0.7860123,0.7755822,0.28664762,0.78219527,0.71947736,0.77899194,0.4697566,Stable
0.38732904,0.48278618,0.45957386,0.7454568,0.5213617,0.41103742,0.7100696,0.89810556,0.7384912,0.2983144,0.7205144,0.7614461,0.7662143,0.28031087,0.7802663,0.71576416,0.7758119,0.46634254,Stable
0.3893094,0.49555525,0.4658521,0.75118804,0.5143822,0.4158178,0.7232715,0.91993755,0.73650444,0.30695915,0.73650646,0.78238976,0.76948583,0.27471492,0.7779969,0.72687787,0.7775079,0.46448827,Stable
0.3849002,0.50405824,0.4623875,0.75165457,0.51402897,0.41953403,0.7210166,0.91249526,0.7339492,0.30424437,0.73567986,0.8086555,0.7643359,0.2736856,0.7847582,0.7276641,0.78555053,0.4644328,Stable
0.384759,0.5037589,0.46259913,0.751882,0.5140766,0.4196357,0.72103834,0.91257524,0.73402065,0.30418864,0.7356526,0.80857295,0.7645106,0.2736045,0.78487843,0.72769684,0.78559947,0.46437132,Stable
0.3883664,0.512728,0.46294615,0.7545217,0.5148525,0.4318163,0.7213659,0.9101231,0.737736,0.3024874,0.7499816,0.80353355,0.7784442,0.2604456,0.77870214,0.7302307,0.78093684,0.47211313,Stable
0.38785535,0.51757425,0.46890342,0.7613101,0.509303,0.429275,0.7224471,0.9105827,0.7356896,0.31719178,0.74734247,0.80472314,0.77287436,0.2613331,0.78759927,0.71095985,0.7885679,0.4611648,Stable
0.3901415,0.52232826,0.46892202,0.7621614,0.50289774,0.43512475,0.72281444,0.9031314,0.7329515,0.3187158,0.7500112,0.8099927,0.7726593,0.2202223,0.7918025,0.71408415,0.7923159,0.46803424,Stable
0.390213,0.52349204,0.46827173,0.764064,0.5070854,0.44037664,0.7262019,0.89765084,0.7175672,0.3364036,0.74810594,0.8124026,0.7655761,0.2065273,0.784497,0.7052467,0.7856602,0.47159517,Stable
0.38996327,0.5230513,0.46832597,0.76404685,0.5072236,0.4402772,0.72614896,0.89770377,0.7176057,0.33644277,0.74799055,0.8124015,0.7657037,0.20681581,0.7844765,0.7052001,0.7857351,0.47164243,Stable
0.39297432,0.52722347,0.46858248,0.76732314,0.5028002,0.4410643,0.73015714,0.8943597,0.7081551,0.33832654,0.7502539,0.8105295,0.7601428,0.27714592,0.79016393,0.70810264,0.79260725,0.4730336,Stable
0.39256322,0.5318587,0.47358668,0.76771677,0.50410223,0.43418655,0.7292942,0.8935336,0.7042409,0.3414472,0.74924505,0.8582412,0.76138186,0.26189613,0.79111904,0.7059676,0.79395217,0.46938348,Stable
0.39218348,0.5342885,0.4757062,0.7672535,0.50206214,0.44273576,0.73121095,0.88799685,0.69591475,0.3438561,0.75632036,0.8805609,0.75977755,0.27446952,0.7970678,0.6988351,0.79207826,0.46420044,Stable
0.39605305,0.5403245,0.47588414,0.7665867,0.502495,0.44108737,0.7307745,0.88362205,0.70896167,0.33159626,0.7554207,0.88196886,0.7672702,0.29426444,0.79462975,0.701904,0.7913062,0.47095403,Stable
0.39594638,0.54042274,0.476035,0.76654875,0.5026268,0.4411331,0.7307357,0.88342905,0.7086164,0.33155814,0.7553701,0.8821003,0.7672124,0.29451415,0.79473066,0.7018608,0.7913279,0.47093683,Stable
0.39126444,0.544631,0.47738189,0.76257205,0.49999356,0.44238782,0.72957325,0.8789927,0.6949584,0.33974284,0.7573538,0.8810998,0.75493515,0.30568832,0.794415,0.70124304,0.7940948,0.4685278,Stable
