x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,label
0.21061373,0.5009853,0.3794361,0.6497615,0.35789546,0.36628687,0.6303721,0.6833831,0.5872181,0.28250343,0.76092005,0.6640804,0.74327326,0.1291405,0.7458946,0.56630397,0.72877145,0.36286578,Stable
0.2105512,0.49845248,0.3761456,0.6481781,0.3613907,0.36239108,0.6290964,0.68527573,0.5884134,0.27874634,0.76466817,0.66768336,0.7439952,0.12889534,0.74251544,0.5698628,0.72723675,0.36368474,Stable
0.2081068,0.49582765,0.37233827,0.64749503,0.3618703,0.3599344,0.6326359,0.6910827,0.58986986,0.28044835,0.7774984,0.6655712,0.74128664,0.14100766,0.7451054,0.57056,0.72846526,0.36464602,Stable
0.21024977,0.49795765,0.3752931,0.6449959,0.36217365,0.36215234,0.6294877,0.6901324,0.5891183,0.2785698,0.7778412,0.66230243,0.743921,0.13252613,0.74089396,0.5698684,0.7258665,0.36473605,Stable
0.21292982,0.49480355,0.3761924,0.6430556,0.3584401,0.36351773,0.6341256,0.6881685,0.5898041,0.27874804,0.78046507,0.66754717,0.7436508,0.13232905,0.74115986,0.56977326,0.7233468,0.36510575,Stable
0.21295333,0.494781,0.37616298,0.6430522,0.35833332,0.3636576,0.63419676,0.68809766,0.5896813,0.27883106,0.78049076,0.66740215,0.74364966,0.1322087,0.7412967,0.5696934,0.7232742,0.3650319,Stable
0.21247992,0.4959802,0.37856436,0.64330673,0.36381894,0.3630426,0.63039935,0.6865951,0.5921233,0.27771673,0.7804769,0.66534626,0.74387753,0.13117063,0.7436327,0.5691998,0.7273616,0.36598134,Stable
0.21274641,0.4968117,0.37746066,0.6437136,0.36301756,0.36141187,0.63076705,0.68663615,0.59185094,0.27840823,0.77753615,0.6634077,0.74470055,0.13039756,0.74291986,0.5698918,0.72664016,0.36709774,Stable
0.21116537,0.4979689,0.37357292,0.64443374,0.35933197,0.36427146,0.6329832,0.69108176,0.5905265,0.27875152,0.7778837,0.6755183,0.7538142,0.12740992,0.738218,0.5695962,0.7251916,0.3677311,Stable
0.20896241,0.49634382,0.37259406,0.64410037,0.3634209,0.36257392,0.6292025,0.69150543,0.5902613,0.27865654,0.7764396,0.67272365,0.74415225,0.1369062,0.7415099,0.5693493,0.7272,0.3663349,Stable
0.2091149,0.4958608,0.37265837,0.6441074,0.36355275,0.36251473,0.6292739,0.69161475,0.590506,0.27860928,0.77701116,0.6726891,0.7442199,0.13662481,0.74188864,0.56921566,0.7274696,0.3661943,Stable
0.20918569,0.49616736,0.37916324,0.6428538,0.35974723,0.362935,0.6318296,0.68483824,0.5920311,0.27831602,0.7769741,0.66225815,0.7479075,0.13331474,0.7464203,0.5663228,0.7295603,0.36531663,Stable
0.21148628,0.5022423,0.38171756,0.64329803,0.3623191,0.36099416,0.6317272,0.68450177,0.590651,0.27901065,0.7790911,0.66936314,0.7455702,0.13517892,0.74174756,0.57262903,0.7279109,0.368977,Stable
0.2099794,0.502758,0.38332126,0.64959174,0.35947508,0.36593884,0.6441631,0.6843127,0.5882442,0.28233522,0.7610974,0.66959965,0.7439763,0.13842946,0.74618316,0.5674452,0.7306316,0.36213514,Stable
0.21227233,0.505375,0.3799286,0.6484979,0.36046982,0.36593288,0.6353522,0.6884477,0.586995,0.283727,0.77567047,0.66507864,0.74407077,0.14284407,0.7464587,0.57349324,0.73000073,0.3641839,Stable
0.21220544,0.5052763,0.37986797,0.64847726,0.36043423,0.36595464,0.63556165,0.68831956,0.5871132,0.28361756,0.7757518,0.6649354,0.7438776,0.1433863,0.7467283,0.5734215,0.7302151,0.3641563,Stable
0.21263954,0.5054987,0.37984514,0.6475594,0.3605625,0.366136,0.63616896,0.68773955,0.586447,0.2838413,0.777859,0.67092913,0.74489874,0.141554,0.74489844,0.57257897,0.7289367,0.36604416,Stable
0.2075005,0.50157213,0.3795515,0.64325655,0.36124045,0.36025167,0.632094,0.6888342,0.5917195,0.27731416,0.77423996,0.66324997,0.745337,0.13046637,0.7417078,0.56632805,0.72698057,0.35979652,Stable
