x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,label
0.2103965,0.6439192,0.42167944,0.7375401,0.3514849,0.4436638,0.65809476,0.77987826,0.6374154,0.33598718,0.7692351,0.92453194,0.7538414,0.4669275,0.76504654,0.674334,0.7559159,0.45680076,Stable
0.2102189,0.6441361,0.42116043,0.7360226,0.3527331,0.44328672,0.65802157,0.7779372,0.6371355,0.3364315,0.76949346,0.9237859,0.753446,0.4595823,0.76547253,0.66871226,0.7551102,0.45656168,Stable
0.21093082,0.6447763,0.4213687,0.7360772,0.3500552,0.44334444,0.66212046,0.78063816,0.6364939,0.33582056,0.76992536,0.9272543,0.75206685,0.46032268,0.7645451,0.6682968,0.75501794,0.4560264,Stable
0.21023147,0.6456412,0.42163706,0.7362999,0.35012528,0.44103438,0.66003567,0.77992475,0.6365183,0.33684474,0.77068084,0.9268174,0.74949443,0.43368447,0.7673507,0.6691677,0.75709176,0.45405978,Stable
0.20801085,0.64345235,0.4112023,0.73621297,0.35000142,0.4390447,0.65351456,0.77654374,0.632202,0.3395457,0.76896924,0.9255294,0.74922335,0.4353041,0.7653172,0.6691735,0.75630754,0.4536054,Stable
0.20849709,0.6422527,0.40754038,0.7318896,0.34783334,0.44004953,0.6523501,0.77605593,0.6313355,0.34232447,0.77067566,0.92475104,0.75038266,0.43645155,0.7638158,0.672362,0.75428957,0.45385814,Stable
0.20877042,0.64160776,0.41380805,0.7354895,0.34893438,0.44095045,0.65523595,0.77459115,0.6301787,0.34264064,0.7704077,0.92375314,0.74860847,0.43828553,0.76378125,0.6652367,0.7535929,0.44904384,Stable
0.21118355,0.6411927,0.41322595,0.7343422,0.35151237,0.43844467,0.650756,0.77543414,0.6349346,0.34303293,0.76920885,0.9221326,0.7478501,0.43956506,0.7623502,0.6695442,0.7537662,0.45296502,Stable
0.2081111,0.6388986,0.41798687,0.7345423,0.35159123,0.43973586,0.65627706,0.77475715,0.6423824,0.34103316,0.77426237,0.9315696,0.75359625,0.4456093,0.7665238,0.6675736,0.7570678,0.4551311,Stable
0.20846187,0.6393955,0.41709358,0.7338133,0.34871066,0.43705344,0.6565588,0.77347606,0.6432444,0.33984622,0.7744131,0.9300682,0.7520443,0.43922803,0.76547426,0.6677677,0.7562679,0.4549478,Stable
0.20766334,0.642667,0.41815504,0.73670113,0.34335646,0.43884358,0.6573326,0.77060294,0.6291141,0.34158525,0.76511884,0.92395675,0.7446458,0.41435057,0.7632388,0.66853374,0.75345725,0.45644617,Stable
0.20778891,0.64495367,0.41961944,0.7351718,0.34765607,0.43876594,0.6560753,0.77233523,0.6268516,0.33994782,0.7659265,0.9259388,0.74742997,0.4342494,0.7622738,0.66417724,0.75116533,0.45207983,Stable
0.20847291,0.64630175,0.41611022,0.7368361,0.34999797,0.4365117,0.65904987,0.77248526,0.6327747,0.3382712,0.77006936,0.924807,0.745944,0.42149264,0.76219344,0.6640073,0.74999106,0.45288342,Stable
0.21066901,0.6498603,0.4198671,0.7376537,0.34728014,0.43976244,0.6579803,0.7729387,0.6302604,0.33839226,0.7697296,0.9246867,0.7409297,0.41589046,0.76303047,0.6645063,0.7499689,0.4520155,Stable
0.20567083,0.6505733,0.41910827,0.73656076,0.349933,0.4432822,0.65829724,0.7734525,0.63477063,0.33991015,0.7740409,0.9320245,0.7440357,0.41932213,0.76422805,0.6658674,0.75195086,0.45659804,Stable
0.20839554,0.65357,0.4195641,0.73594344,0.3497326,0.44120175,0.65735626,0.7737934,0.6337067,0.33847353,0.7654628,0.92803526,0.7458606,0.4439275,0.76376283,0.6671245,0.75335824,0.45436615,Stable
0.20688544,0.65311396,0.41660386,0.73675025,0.35360014,0.4405666,0.65923786,0.7750138,0.6232681,0.34101272,0.7639038,0.92458403,0.74922055,0.46697363,0.7625615,0.66666377,0.7522863,0.45233196,Stable
0.20419878,0.65140045,0.41964102,0.73448914,0.35319412,0.44157982,0.6608757,0.7785888,0.6328272,0.34013748,0.77005243,0.92424005,0.7501866,0.46546167,0.76335895,0.6613338,0.75117815,0.4487208,Stable
0.21009909,0.6500926,0.4166475,0.7355324,0.35070023,0.43788046,0.6592492,0.7770862,0.6323595,0.33830142,0.77096546,0.9248172,0.750059,0.46291655,0.76211476,0.6627236,0.7521124,0.44885004,Stable
0.21060614,0.64794123,0.41971803,0.73571026,0.35024166,0.43536687,0.66188836,0.7783843,0.63619804,0.33518085,0.7723145,0.9267777,0.7516214,0.46264333,0.7611433,0.659109,0.7488045,0.43330535,Stable
0.21067946,0.6434672,0.41815972,0.73245955,0.34663987,0.43433794,0.65469176,0.7707152,0.6256369,0.33555144,0.77046394,0.92397016,0.74283147,0.41174698,0.7567798,0.6638615,0.74617875,0.44897577,Stable
0.20956421,0.6405835,0.41906583,0.7278101,0.34867585,0.42863712,0.6516633,0.7694987,0.6303042,0.33407283,0.7713861,0.9238311,0.74429154,0.39295155,0.76048136,0.6624617,0.7462145,0.45181775,Stable
0.2137484,0.63808763,0.41134822,0.7209489,0.34695786,0.42828533,0.64775825,0.7663617,0.63496864,0.33429563,0.76416796,0.9237978,0.74707687,0.39434442,0.7598984,0.65413135,0.7466397,0.43399906,Stable
0.21206717,0.6299994,0.41351864,0.720238,0.3433408,0.42332694,0.6473457,0.7685509,0.6221075,0.326569,0.76866007,0.92355525,0.74631894,0.38931453,0.75733364,0.6487633,0.74265623,0.43062234,Stable
0.21405642,0.627161,0.40357375,0.7126051,0.34431976,0.42446572,0.636105,0.7625811,0.629941,0.3277923,0.7621216,0.92081493,0.7494108,0.39500952,0.75736487,0.65096295,0.74476784,0.43018672,Stable
0.21426636,0.6237764,0.4090695,0.7175633,0.34240538,0.42099428,0.64361095,0.76105714,0.6344035,0.32280523,0.76474726,0.9210133,0.7463261,0.38660645,0.75961155,0.6485008,0.7458975,0.42843446,Stable
0.21646611,0.624193,0.40573725,0.708795,0.34048855,0.4207105,0.63917536,0.76144314,0.63475966,0.3249691,0.7638233,0.9180016,0.7433461,0.37405497,0.7571158,0.64181805,0.74122846,0.42680833,Stable
