x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,label,,
0.17216639,0.6587478,0.30741563,0.8046708,0.25009906,0.44435745,0.58858836,0.83553827,0.50686646,0.32039702,0.7566971,0.73381895,0.69003147,0.22379428,0.7545695,0.6830683,0.72602236,0.42889136,Stable,,
0.09628336,0.67697525,0.29423505,0.80397075,0.24496196,0.44673285,0.58396834,0.83534354,0.5071139,0.31859824,0.75995195,0.68675745,0.6729798,0.22080424,0.7571093,0.6826269,0.73557484,0.42549595,Stable,,
0.16398618,0.6568955,0.28610677,0.7927666,0.24460784,0.42842072,0.578786,0.83120406,0.5284097,0.30347893,0.74746215,0.6478861,0.69448197,0.20924982,0.75433576,0.6857778,0.73298943,0.42344457,Stable,,
0.17399663,0.6370972,0.27909243,0.779824,0.25216737,0.42248815,0.5790952,0.82953566,0.5349236,0.293745,0.76058,0.73353165,0.71433485,0.20615256,0.7456447,0.6781103,0.7223098,0.4135737,Stable,,
0.17768112,0.6359712,0.2738401,0.7744099,0.25824362,0.4048608,0.5679232,0.8229867,0.53789115,0.29184264,0.75010943,0.7531655,0.72016287,0.20143674,0.7504624,0.67152023,0.73056257,0.40376613,Stable,,
0.17193079,0.6308173,0.262106,0.76996124,0.25665456,0.4034248,0.56476915,0.82218385,0.5157311,0.29142037,0.7550971,0.7141092,0.7159869,0.20789659,0.7511522,0.6710042,0.73303854,0.40009534,Minimum Sway,,
0.17300239,0.61558896,0.26367584,0.7637211,0.25989032,0.3950976,0.5724609,0.8150098,0.5286166,0.28425825,0.7535517,0.7150492,0.71734756,0.20518969,0.7470004,0.6593245,0.73098254,0.4016217,Minimum Sway,,
0.19528031,0.60799456,0.26006278,0.7513227,0.25518426,0.3947472,0.5593946,0.80545497,0.52533257,0.2807063,0.7377889,0.73657864,0.7140875,0.2016908,0.7368785,0.6606694,0.71726286,0.4001577,Minimum Sway,,
0.17748025,0.60546196,0.26242995,0.74768585,0.2577789,0.37629956,0.54577076,0.7991737,0.53716916,0.27188706,0.73765934,0.74990916,0.7176125,0.201651,0.73618555,0.633888,0.71475136,0.37242198,Minimum Sway,,
0.17681353,0.5909316,0.25903952,0.74811137,0.26531243,0.35891685,0.55797434,0.79658717,0.55199474,0.26520646,0.7236785,0.74056077,0.73452616,0.19558595,0.7397344,0.6438599,0.7172599,0.37055057,Minimum Sway,,
0.1944751,0.57045966,0.26398367,0.7502689,0.25926554,0.35550058,0.5477859,0.7848687,0.54948026,0.2659859,0.73091596,0.7501668,0.7240026,0.18047957,0.74005187,0.6628908,0.71850777,0.385086,Minimum Sway,,
0.17188358,0.57032025,0.26178443,0.74386156,0.25388792,0.35490856,0.5483133,0.78380024,0.53852004,0.26437652,0.7355086,0.7502448,0.71318555,0.18799937,0.73646724,0.63836235,0.7144415,0.37592897,Minimum Sway,,
0.1819744,0.5666616,0.25249705,0.72206664,0.24684301,0.3633651,0.4715137,0.77567434,0.53127694,0.26535302,0.4267512,0.79943645,0.67826974,0.20702258,0.6767129,0.623626,0.6660508,0.38609505,Minimum Sway,,
0.19829935,0.55706394,0.25908142,0.725083,0.25475612,0.35523742,0.501009,0.7620759,0.53046715,0.26773435,0.46816453,0.8065634,0.6752473,0.20377073,0.701736,0.6071043,0.6852669,0.36832842,Minimum Sway,,
0.1956492,0.5484612,0.26351872,0.7189807,0.25705653,0.34351057,0.5070831,0.7575435,0.5329493,0.2616603,0.71053976,0.74853635,0.72483915,0.18255588,0.726211,0.6106593,0.7073083,0.36465716,Minimum Sway,,
0.18076168,0.52560866,0.26078275,0.6780333,0.255057,0.32296687,0.48001617,0.7401475,0.5378233,0.24901772,0.47415274,0.78776884,0.71736306,0.16978183,0.7160279,0.5838093,0.7049806,0.34667587,Minimum Sway,,
0.19296217,0.5291153,0.25418615,0.69201416,0.25393063,0.3300365,0.4864999,0.73910177,0.53519744,0.24906197,0.5332358,0.77095306,0.72253054,0.16584183,0.72529066,0.58917975,0.72189283,0.3425305,Minimum Sway,,
0.18063271,0.52415854,0.25842643,0.68837726,0.26591653,0.31917095,0.5128517,0.7390937,0.5373182,0.24733226,0.6687595,0.7395872,0.7437479,0.19863486,0.72769016,0.5856753,0.7174222,0.34244248,Minimum Sway,,
0.17966747,0.5149352,0.25929356,0.6659009,0.25793952,0.32361066,0.48310634,0.71718085,0.53812,0.24515665,0.558573,0.76133287,0.7280103,0.1927285,0.72024095,0.5858446,0.7064651,0.34343684,Stable,,
0.19714928,0.52024484,0.26297796,0.6689328,0.25905,0.32432285,0.46581334,0.7304394,0.53857183,0.24688166,0.5188888,0.7652635,0.7266458,0.1799516,0.7226918,0.58468115,0.7164656,0.34302288,Stable,,
0.20537663,0.50875187,0.25946286,0.6958668,0.26013315,0.32005134,0.53425,0.7262289,0.5400698,0.24600321,0.6915507,0.71549654,0.7132213,0.1825199,0.73555577,0.59687203,0.72267675,0.34135312,Stable,,
0.17723632,0.5158258,0.25978214,0.68637574,0.2582659,0.32424042,0.5045175,0.736916,0.53539693,0.25038135,0.6827881,0.7344395,0.7175664,0.17825982,0.71883315,0.5932549,0.7135695,0.34996122,Stable,,
0.17703448,0.5305662,0.26422048,0.69411266,0.25882205,0.32918444,0.5079076,0.73522305,0.52038544,0.25246388,0.6003326,0.69778895,0.6693721,0.18931028,0.71529174,0.6005815,0.7056674,0.36435947,Stable,,
0.20816639,0.53113866,0.26480287,0.70330447,0.25900063,0.3374707,0.5087082,0.74304307,0.54219466,0.24893388,0.6287542,0.72351086,0.7366053,0.17840269,0.7364342,0.587101,0.72352123,0.33986622,Stable,,
0.20845896,0.5328441,0.27451032,0.69037604,0.26096165,0.34047565,0.51964897,0.7282023,0.5315206,0.25506997,0.6301569,0.65494925,0.69843453,0.18577968,0.72336507,0.59130543,0.71926594,0.35083127,Stable,,
0.17679906,0.5462085,0.2623965,0.7161808,0.2484676,0.3461414,0.51699764,0.7476791,0.5124146,0.26314974,0.6069027,0.72070086,0.6880021,0.2000237,0.72578424,0.6160724,0.7221099,0.3663047,Stable,,
0.1783161,0.54676324,0.28104138,0.7186645,0.25260663,0.3449571,0.5414429,0.7508762,0.5265188,0.26107287,0.65795714,0.7043676,0.70248693,0.19820952,0.74204814,0.604043,0.7324853,0.3475941,Stable,,
0.17511497,0.5493361,0.2759995,0.72690916,0.2505715,0.35250592,0.54878753,0.7741698,0.5144333,0.26485318,0.63379365,0.6694872,0.6459849,0.21811572,0.7513099,0.61062986,0.739011,0.35224518,Stable,,
0.2098761,0.56542355,0.28345442,0.73951507,0.2545379,0.35890037,0.5545598,0.78290814,0.5278115,0.26293576,0.7009561,0.7230892,0.6897838,0.20181558,0.7515158,0.626188,0.735002,0.36224318,Stable,,
0.18422663,0.5691805,0.28763735,0.7504275,0.2632143,0.36044452,0.56636554,0.78422517,0.52578557,0.27232838,0.7554619,0.72425264,0.6803202,0.20215188,0.7425727,0.6374426,0.72470087,0.37132132,Stable,,
0.17882732,0.5881723,0.2835529,0.7615731,0.26095116,0.37750244,0.5660056,0.79443115,0.51377034,0.2923063,0.6322459,0.69892645,0.64718986,0.22330114,0.72279114,0.6361387,0.705158,0.3875069,Stable,,
0.20432542,0.57949615,0.29688352,0.76310587,0.25900292,0.37662312,0.5838031,0.7879419,0.5188579,0.2830282,0.7257528,0.69641805,0.6785004,0.2085743,0.7398312,0.6515826,0.7214285,0.37905383,Stable,,
0.20654726,0.5755139,0.29091755,0.76414245,0.26440036,0.37950546,0.57742226,0.7896483,0.52874047,0.27971315,0.6899411,0.69688773,0.6251117,0.22045432,0.7306241,0.636383,0.7156853,0.38561964,Stable,,
0.20123892,0.5790397,0.28570133,0.7669536,0.25359273,0.39283714,0.5763784,0.79797065,0.5152367,0.2900495,0.72044516,0.7583586,0.7054372,0.22236595,0.739804,0.64195204,0.72078705,0.36796403,Stable,,
0.19996065,0.5710122,0.27802536,0.7649517,0.25533855,0.39023978,0.5622895,0.79774827,0.5235326,0.28474694,0.7606908,0.7830241,0.72873443,0.20928767,0.74267185,0.6519009,0.7289429,0.36545533,Stable,,
0.20168144,0.5946877,0.2980379,0.77056354,0.25423798,0.39855367,0.5638734,0.8029847,0.5196322,0.29278457,0.75322604,0.7810558,0.7050216,0.2112529,0.75168824,0.6725494,0.7402898,0.40126666,Stable,,
